"archive","sensitive","file_count","csv_count","xlsx_count","rmd_count","html_count","pdf_count","zip_count","suggested_target"
"MQT-2101_A25_86582.pdf",FALSE,1,0,0,0,0,1,0,"plan-de-cours.qmd et calendrier.qmd"
"MQT-2101-A25_Atelier en classe 1 .zip",FALSE,9,3,0,3,1,2,0,"modules/atelier-01-r"
"MQT-2101-A25_Atelier en classe 2.zip",FALSE,7,2,0,2,2,1,0,"modules/atelier-02-regression"
"MQT-2101-A25_Atelier en classe 3.zip",FALSE,4,2,0,0,0,0,2,"modules/atelier-03-series-chronologiques"
"MQT-2101-A25_Atelier en classe 4.zip",FALSE,5,2,1,2,0,0,0,"modules/atelier-04-recapitulation"
"MQT-2101-A25_Examen final à la maison.zip",TRUE,16,0,0,0,0,0,16,"archive sensible, ne pas publier"
"MQT-2101-A25_Examen intra à la maison.zip",TRUE,18,0,0,0,0,0,18,"archive sensible, ne pas publier"
"MQT-2101-A25_Préparation à l'examen.zip",FALSE,4,0,1,1,1,1,0,"evaluations et modules/semaine-05-preparation-intra"
"MQT-2101-A25_Séance 02 _  Introduction.zip",FALSE,15,3,2,0,0,7,0,"modules/semaine-02-r-quarto"
"MQT-2101-A25_Séance 03 _ Régression.zip",FALSE,18,4,0,0,1,9,0,"modules/semaine-03-regression-lineaire"
"MQT-2101-A25_Séance 04_ Régression non.zip",FALSE,11,2,0,0,1,6,0,"modules/semaine-04-regression-nonlineaire"
"MQT-2101-A25_Séance 05 _ Préparation à.zip",FALSE,10,4,0,0,0,4,0,"modules/semaine-05-preparation-intra"
"MQT-2101-A25_Séance 06 _  La prévision.zip",FALSE,12,1,1,0,0,7,0,"modules/semaine-06-series-chronologiques-intro"
"MQT-2101-A25_Séance 07 _ Méthodes de.zip",FALSE,16,4,0,0,0,8,1,"modules/semaine-07-lissage"
"MQT-2101-A25_Séance 08 _  Modèles.zip",FALSE,8,2,0,0,2,4,0,"modules/semaine-08-tendance-saisonnalite"
"MQT-2101-A25_Séance 09 _ Modèles basés.zip",FALSE,10,4,0,2,1,3,0,"modules/semaine-09-variables-externes-autocorrelation"
"MQT-2101-A25_Séance 10 _ Prévision des.zip",FALSE,12,2,1,2,1,6,0,"modules/semaine-10-classification-modeles-avances"
"MQT-2101-A25_Séance 11 _.zip",FALSE,6,3,0,0,1,2,0,"modules/atelier-04-recapitulation"
"MQT-2101-A25_Solutionnaires séances.zip",FALSE,4,0,2,0,2,0,0,"solutions privées, hors rendu public"
