mois,mois_label,saison,succursale,region,surface_m2,campagne_locale,depenses_marketing,clients,panier_moyen,ventes,delai_livraison_jours,ruptures_stock,satisfaction,taux_retour
2025-01-01,janvier,moyenne,Gatineau,Outaouais,410,1,4799,2188,59.35,129858,3,6,7.6,0.076
2025-01-01,janvier,moyenne,Montréal,Montréal,520,1,5755,2568,65.66,168615,2.5,3,7.9,0.043
2025-01-01,janvier,moyenne,Québec,Capitale-Nationale,460,0,5646,2280,62.41,142295,2.4,1,8.7,0.044
2025-01-01,janvier,moyenne,Sherbrooke,Estrie,390,0,2367,2013,59.69,120156,2.3,3,8.5,0.035
2025-01-01,janvier,moyenne,Trois-Rivières,Mauricie,360,1,7671,1967,54.91,108008,2.1,1,7.1,0.037
2025-02-01,février,moyenne,Gatineau,Outaouais,410,0,4771,2100,55.02,115542,3.5,1,7,0.025
2025-02-01,février,moyenne,Montréal,Montréal,520,0,3070,2468,64.23,158520,1.7,0,8.5,0.042
2025-02-01,février,moyenne,Québec,Capitale-Nationale,460,1,5029,2417,65.03,157178,2.4,2,NA,0.022
2025-02-01,février,moyenne,Sherbrooke,Estrie,390,0,2637,2164,53.71,116228,2.2,1,7.4,0.019
2025-02-01,février,moyenne,Trois-Rivières,Mauricie,360,0,4895,1939,60.83,117949,2.2,1,8,0.051
2025-03-01,mars,reguliere,Gatineau,Outaouais,410,0,1949,1953,58.57,114387,3,1,8.6,0.027
2025-03-01,mars,reguliere,Montréal,Montréal,520,1,2680,2327,59.21,137782,2.2,0,8.5,0.024
2025-03-01,mars,reguliere,Québec,Capitale-Nationale,460,0,5760,2261,57.62,130279,2.5,1,7.7,0.03
2025-03-01,mars,reguliere,Sherbrooke,Estrie,390,0,5906,2208,59.74,131906,3,2,7.2,0.044
2025-03-01,mars,reguliere,Trois-Rivières,Mauricie,360,0,4903,1866,69.99,130601,2.2,0,7,0.028
2025-04-01,avril,reguliere,Gatineau,Outaouais,410,0,3551,1811,56.69,102666,1.7,1,7.9,0.029
2025-04-01,avril,reguliere,Montréal,Montréal,520,0,2671,2415,58.34,140891,2.3,5,6.3,0.041
2025-04-01,avril,reguliere,Québec,Capitale-Nationale,460,1,7942,2523,67.06,169192,2.5,1,8.5,0.035
2025-04-01,avril,reguliere,Sherbrooke,Estrie,390,1,6567,2115,56.9,120344,NA,1,7.8,0.026
2025-04-01,avril,reguliere,Trois-Rivières,Mauricie,360,0,3542,1689,64.22,108468,3.1,2,6.7,0.053
2025-05-01,mai,reguliere,Gatineau,Outaouais,410,1,4706,2089,60.69,126781,2.6,0,7.4,0.031
2025-05-01,mai,reguliere,Montréal,Montréal,520,1,7706,2790,56.32,157133,2,1,8.5,0.018
2025-05-01,mai,reguliere,Québec,Capitale-Nationale,460,1,4255,2150,61.4,132010,2.2,2,7.3,0.043
2025-05-01,mai,reguliere,Sherbrooke,Estrie,390,0,5030,2006,63.04,126458,2.9,3,7.5,0.046
2025-05-01,mai,reguliere,Trois-Rivières,Mauricie,360,1,4538,1600,61.17,97872,2.6,2,7.1,0.037
2025-06-01,juin,reguliere,Gatineau,Outaouais,410,1,6296,2122,66.1,140264,2.5,3,8.2,0.06
2025-06-01,juin,reguliere,Montréal,Montréal,520,1,6501,2714,56.4,153070,2.7,2,NA,0.042
2025-06-01,juin,reguliere,Québec,Capitale-Nationale,460,1,6668,2368,62.12,147100,3.4,3,7.9,0.03
2025-06-01,juin,reguliere,Sherbrooke,Estrie,390,0,2593,1762,60.05,105808,2.3,1,7.5,0.01
2025-06-01,juin,reguliere,Trois-Rivières,Mauricie,360,1,3996,1859,58.17,108138,2.4,2,7.8,0.01
2025-07-01,juillet,moyenne,Gatineau,Outaouais,410,0,3737,1880,58.64,110243,2.3,1,8.2,0.025
2025-07-01,juillet,moyenne,Montréal,Montréal,520,1,3615,2622,58.23,152679,2.2,0,8.3,0.046
2025-07-01,juillet,moyenne,Québec,Capitale-Nationale,460,0,6029,2337,62.52,146109,2.6,1,7.5,0.034
2025-07-01,juillet,moyenne,Sherbrooke,Estrie,390,0,3592,1732,57.03,98776,3.1,3,7.2,0.03
2025-07-01,juillet,moyenne,Trois-Rivières,Mauricie,360,1,5136,1848,66.91,123650,2.1,5,7.4,0.066
