mois,mois_label,region,canal,saison,budget_marketing,visites_site,rabais,ventes,satisfaction
2025-01-01,janvier,Capitale-Nationale,Infolettre,moyenne,5814,6393,0,121915,7.7
2025-01-01,janvier,Estrie,Infolettre,moyenne,3775,5235,0.15,93518,7.4
2025-01-01,janvier,Mauricie,Recherche,moyenne,5497,6880,0.13,95109,7.5
2025-01-01,janvier,Montréal,Réseaux sociaux,moyenne,6215,8106,0.17,121125,7.7
2025-01-01,janvier,Outaouais,Recherche,moyenne,5703,7107,0.17,108469,7.7
2025-02-01,février,Capitale-Nationale,Infolettre,moyenne,3246,4958,0.13,82306,7.1
2025-02-01,février,Estrie,Infolettre,moyenne,4927,6154,0.15,95280,7.3
2025-02-01,février,Mauricie,Recherche,moyenne,2497,4117,0.08,56608,7.2
2025-02-01,février,Montréal,Infolettre,moyenne,6515,7606,0.17,126999,8.5
2025-02-01,février,Outaouais,Recherche,moyenne,4654,6333,0.1,86786,7.2
2025-03-01,mars,Capitale-Nationale,Réseaux sociaux,régulière,5947,6821,0.03,118248,8.3
2025-03-01,mars,Estrie,Recherche,régulière,4660,4910,0.01,83303,7.5
2025-03-01,mars,Mauricie,Réseaux sociaux,régulière,5663,6295,0.06,99733,6.8
2025-03-01,mars,Montréal,Recherche,régulière,5351,5921,0.07,108056,8.3
2025-03-01,mars,Outaouais,Réseaux sociaux,régulière,5816,6616,0.02,103307,7.8
2025-04-01,avril,Capitale-Nationale,Infolettre,régulière,4153,5183,0.09,103961,6.8
2025-04-01,avril,Estrie,Recherche,régulière,5468,5866,0.09,102183,7.4
2025-04-01,avril,Mauricie,Recherche,régulière,3627,4724,0.1,72105,6.9
2025-04-01,avril,Montréal,Recherche,régulière,5015,6053,0.04,97532,8.8
2025-04-01,avril,Outaouais,Infolettre,régulière,6296,7083,0.08,115764,7
2025-05-01,mai,Capitale-Nationale,Infolettre,régulière,5242,5818,0.08,90539,7.2
2025-05-01,mai,Estrie,Recherche,régulière,4646,6482,0.1,82163,7.4
2025-05-01,mai,Mauricie,Réseaux sociaux,régulière,3461,4169,0.07,82308,6.9
2025-05-01,mai,Montréal,Infolettre,régulière,6865,8320,0.17,124111,7.6
2025-05-01,mai,Outaouais,Recherche,régulière,5589,5883,0.06,92945,7.5
2025-06-01,juin,Capitale-Nationale,Réseaux sociaux,régulière,4608,6392,0.13,105191,7.3
2025-06-01,juin,Estrie,Recherche,régulière,5646,5302,0.13,103072,7.2
2025-06-01,juin,Mauricie,Recherche,régulière,4840,6237,0.06,90831,6.8
2025-06-01,juin,Montréal,Infolettre,régulière,5335,6284,0.08,112896,7.8
2025-06-01,juin,Outaouais,Recherche,régulière,4309,5231,0.09,82099,7.1
2025-07-01,juillet,Capitale-Nationale,Réseaux sociaux,moyenne,6581,7426,0.06,112935,8.1
2025-07-01,juillet,Estrie,Recherche,moyenne,4164,4736,0.1,99037,6.9
2025-07-01,juillet,Mauricie,Recherche,moyenne,3210,4373,0.17,84410,7.2
2025-07-01,juillet,Montréal,Recherche,moyenne,6188,7769,0.09,125585,8.4
2025-07-01,juillet,Outaouais,Recherche,moyenne,5687,7135,0.07,102544,8.5
2025-08-01,août,Capitale-Nationale,Recherche,régulière,4896,5544,0.05,103617,8.2
2025-08-01,août,Estrie,Réseaux sociaux,régulière,3732,4351,0.02,64333,6.9
2025-08-01,août,Mauricie,Infolettre,régulière,4657,6130,0.11,104340,6.9
2025-08-01,août,Montréal,Réseaux sociaux,régulière,8376,9910,0.14,141133,8.1
2025-08-01,août,Outaouais,Réseaux sociaux,régulière,5204,6975,0.08,94565,7.5
2025-09-01,septembre,Capitale-Nationale,Recherche,régulière,5756,6359,0.14,112703,8.4
2025-09-01,septembre,Estrie,Recherche,régulière,4589,6030,0.01,86200,8.2
2025-09-01,septembre,Mauricie,Réseaux sociaux,régulière,6259,6747,0.16,104895,6.8
2025-09-01,septembre,Montréal,Infolettre,régulière,6769,7401,0.03,113156,8.1
2025-09-01,septembre,Outaouais,Réseaux sociaux,régulière,4867,6004,0.11,86806,7
2025-10-01,octobre,Capitale-Nationale,Infolettre,régulière,6547,8102,0.1,121589,7.9
2025-10-01,octobre,Estrie,Recherche,régulière,3918,5171,0.05,70155,6.4
2025-10-01,octobre,Mauricie,Recherche,régulière,4767,6239,0.16,99419,7.9
2025-10-01,octobre,Montréal,Réseaux sociaux,régulière,5683,6296,0.05,102321,7.9
2025-10-01,octobre,Outaouais,Infolettre,régulière,4148,5896,0.06,89046,6.7
2025-11-01,novembre,Capitale-Nationale,Recherche,haute,6674,7928,0.13,129709,8.4
2025-11-01,novembre,Estrie,Réseaux sociaux,haute,6504,7077,0.12,114937,7.4
2025-11-01,novembre,Mauricie,Recherche,haute,5757,6368,0.05,107922,7.6
2025-11-01,novembre,Montréal,Réseaux sociaux,haute,7919,7789,0.05,142476,8.6
2025-11-01,novembre,Outaouais,Recherche,haute,6740,7848,0.04,108584,8
2025-12-01,décembre,Capitale-Nationale,Infolettre,haute,7713,8278,0.04,136867,7.5
2025-12-01,décembre,Estrie,Réseaux sociaux,haute,6479,6689,0.05,119456,7.8
2025-12-01,décembre,Mauricie,Réseaux sociaux,haute,5800,6908,0.12,119741,7.4
2025-12-01,décembre,Montréal,Recherche,haute,8857,9471,0.17,153315,7.2
2025-12-01,décembre,Outaouais,Recherche,haute,8363,8477,0.16,142464,8.3
