mois,mois_label,saison,succursale,region,surface_m2,capacite_reference,campagne_locale,depenses_marketing,achalandage,taux_occupation,ruptures_stock,temps_attente_minutes,panier_moyen,satisfaction,ventes
2025-01-01,janvier,moyenne,Gatineau,Outaouais,420,2050,non,3706,2366,1.154,3,5.5,70.02,7.6,165671
2025-01-01,janvier,moyenne,Montréal,Montréal,590,3300,non,5215,3715,1.126,1,4.3,51.39,7.8,190921
2025-01-01,janvier,moyenne,Québec,Capitale-Nationale,465,2450,oui,5469,2509,1.024,2,4.3,69.78,7.1,175077
2025-01-01,janvier,moyenne,Saguenay,Saguenay-Lac-Saint-Jean,345,1600,non,3543,1777,1.111,2,6,82.64,7,146858
2025-01-01,janvier,moyenne,Sherbrooke,Estrie,385,1850,non,2778,2040,1.103,2,5.1,74.49,6.9,151957
2025-01-01,janvier,moyenne,Trois-Rivières,Mauricie,360,1720,non,4173,2028,1.179,2,5.4,78.92,7.6,160044
2025-02-01,février,moyenne,Gatineau,Outaouais,420,2050,oui,4259,2024,0.987,1,3.6,77.54,8.5,156934
2025-02-01,février,moyenne,Montréal,Montréal,590,3300,non,5638,3833,1.162,2,4.4,48.9,7.8,187431
2025-02-01,février,moyenne,Québec,Capitale-Nationale,465,2450,non,3381,2525,1.031,1,3.7,63.74,8.3,160936
2025-02-01,février,moyenne,Saguenay,Saguenay-Lac-Saint-Jean,345,1600,oui,5028,1890,1.181,1,4,77.44,8.4,146365
2025-02-01,février,moyenne,Sherbrooke,Estrie,385,1850,non,3685,1841,0.995,2,4.2,79.35,7.6,146082
2025-02-01,février,moyenne,Trois-Rivières,Mauricie,360,1720,oui,3225,1751,1.018,0,3.3,89.36,7.9,156474
2025-03-01,mars,régulière,Gatineau,Outaouais,420,2050,non,3382,1986,0.969,1,3.7,73.93,6.9,146831
2025-03-01,mars,régulière,Montréal,Montréal,590,3300,non,5471,3406,1.032,0,2.4,56.74,8.3,193248
2025-03-01,mars,régulière,Québec,Capitale-Nationale,465,2450,oui,5310,2413,0.985,1,3.3,67.71,8.1,163375
2025-03-01,mars,régulière,Saguenay,Saguenay-Lac-Saint-Jean,345,1600,non,3147,1670,1.044,1,3.5,95.04,7.8,158722
2025-03-01,mars,régulière,Sherbrooke,Estrie,385,1850,non,3338,1696,0.917,0,3.5,79.48,8.7,134790
2025-03-01,mars,régulière,Trois-Rivières,Mauricie,360,1720,oui,4668,1846,1.073,2,4.4,82.85,7.7,152936
2025-04-01,avril,régulière,Gatineau,Outaouais,420,2050,oui,5476,2099,1.024,1,3.9,76.01,7.8,159546
2025-04-01,avril,régulière,Montréal,Montréal,590,3300,non,5166,2868,0.869,0,3.3,63.68,8.5,182632
2025-04-01,avril,régulière,Québec,Capitale-Nationale,465,2450,non,4891,2280,0.931,1,4.2,66.49,7.7,151599
2025-04-01,avril,régulière,Saguenay,Saguenay-Lac-Saint-Jean,345,1600,non,3119,1935,1.209,3,5.5,73.25,6.8,141740
2025-04-01,avril,régulière,Sherbrooke,Estrie,385,1850,oui,4923,1817,0.982,0,4.3,85.86,8.3,156011
2025-04-01,avril,régulière,Trois-Rivières,Mauricie,360,1720,non,3947,1639,0.953,2,4.2,84.46,8.6,138431
2025-05-01,mai,régulière,Gatineau,Outaouais,420,2050,oui,5713,2024,0.987,2,4.3,78.84,7.7,159577
2025-05-01,mai,régulière,Montréal,Montréal,590,3300,oui,5963,3124,0.947,2,4.3,59.69,7.5,186456
2025-05-01,mai,régulière,Québec,Capitale-Nationale,465,2450,oui,5448,2342,0.956,0,3.9,79.29,7.7,185690
2025-05-01,mai,régulière,Saguenay,Saguenay-Lac-Saint-Jean,345,1600,non,3503,1515,0.947,1,3.2,94.76,8.1,143555
2025-05-01,mai,régulière,Sherbrooke,Estrie,385,1850,oui,4640,1649,0.891,0,2.1,92.95,7.9,153280
2025-05-01,mai,régulière,Trois-Rivières,Mauricie,360,1720,oui,4239,1584,0.921,2,4.2,90.45,7.5,143269
2025-06-01,juin,régulière,Gatineau,Outaouais,420,2050,non,4239,2119,1.034,2,4.2,76.8,7.6,162734
2025-06-01,juin,régulière,Montréal,Montréal,590,3300,oui,5654,3332,1.01,1,4,56.7,8,188929
2025-06-01,juin,régulière,Québec,Capitale-Nationale,465,2450,non,4184,2208,0.901,1,1.9,74.55,8.2,164611
2025-06-01,juin,régulière,Saguenay,Saguenay-Lac-Saint-Jean,345,1600,oui,4495,1832,1.145,2,4.7,82.74,8.2,151584
2025-06-01,juin,régulière,Sherbrooke,Estrie,385,1850,oui,4739,1730,0.935,0,3.5,88.59,8.1,153263
2025-06-01,juin,régulière,Trois-Rivières,Mauricie,360,1720,non,3089,1476,0.858,0,2.9,91.86,8.6,135588
2025-07-01,juillet,moyenne,Gatineau,Outaouais,420,2050,oui,4796,2484,1.212,2,4.2,71.22,8.2,176903
2025-07-01,juillet,moyenne,Montréal,Montréal,590,3300,non,4924,3510,1.064,2,4.2,55.89,7.5,196172
2025-07-01,juillet,moyenne,Québec,Capitale-Nationale,465,2450,non,3309,2322,0.948,1,4.2,67.97,6.8,157835
2025-07-01,juillet,moyenne,Saguenay,Saguenay-Lac-Saint-Jean,345,1600,oui,5440,1768,1.105,0,4.8,83.66,6.9,147909
2025-07-01,juillet,moyenne,Sherbrooke,Estrie,385,1850,oui,5495,2364,1.278,1,4.5,76.87,8.4,181730
2025-07-01,juillet,moyenne,Trois-Rivières,Mauricie,360,1720,oui,4410,2020,1.174,0,5.4,73.4,7.4,148259
2025-08-01,août,régulière,Gatineau,Outaouais,420,2050,non,3339,2122,1.035,0,3.6,75.64,7.5,160510
2025-08-01,août,régulière,Montréal,Montréal,590,3300,non,5152,2972,0.901,1,4.1,59.78,6.8,177657
2025-08-01,août,régulière,Québec,Capitale-Nationale,465,2450,non,3833,2247,0.917,2,4.2,73.44,8.2,165010
2025-08-01,août,régulière,Saguenay,Saguenay-Lac-Saint-Jean,345,1600,non,3621,1151,0.719,0,2.5,107.56,8.4,123799
2025-08-01,août,régulière,Sherbrooke,Estrie,385,1850,oui,5991,2122,1.147,1,4.7,85.83,7.7,182125
2025-08-01,août,régulière,Trois-Rivières,Mauricie,360,1720,non,2620,1730,1.006,1,3.6,84.38,7.7,145971
2025-09-01,septembre,régulière,Gatineau,Outaouais,420,2050,oui,5414,2008,0.98,1,3.8,84.03,7.3,168733
2025-09-01,septembre,régulière,Montréal,Montréal,590,3300,oui,7103,3441,1.043,3,5,56.71,7.2,195147
2025-09-01,septembre,régulière,Québec,Capitale-Nationale,465,2450,oui,5836,2396,0.978,3,3.5,69.12,7.1,165601
2025-09-01,septembre,régulière,Saguenay,Saguenay-Lac-Saint-Jean,345,1600,non,2698,1291,0.807,1,2.7,93.33,6.9,120486
2025-09-01,septembre,régulière,Sherbrooke,Estrie,385,1850,non,2813,1707,0.923,2,3.4,82.83,8,141393
2025-09-01,septembre,régulière,Trois-Rivières,Mauricie,360,1720,non,3556,1616,0.94,1,3.2,75.92,8.3,122687
2025-10-01,octobre,régulière,Gatineau,Outaouais,420,2050,oui,5786,1993,0.972,1,3.8,77.72,7.4,154903
2025-10-01,octobre,régulière,Montréal,Montréal,590,3300,oui,7177,3476,1.053,2,4.5,56.44,8,196183
2025-10-01,octobre,régulière,Québec,Capitale-Nationale,465,2450,oui,5256,2283,0.932,4,4,70.29,7,160480
2025-10-01,octobre,régulière,Saguenay,Saguenay-Lac-Saint-Jean,345,1600,non,3456,1500,0.938,0,3.4,92.19,8.3,138285
2025-10-01,octobre,régulière,Sherbrooke,Estrie,385,1850,oui,4500,1733,0.937,1,3.8,88.19,6.9,152827
2025-10-01,octobre,régulière,Trois-Rivières,Mauricie,360,1720,non,2752,1682,0.978,3,5,83.15,7.1,139860
2025-11-01,novembre,haute,Gatineau,Outaouais,420,2050,non,4231,2548,1.243,2,4.9,69.3,7.6,176584
2025-11-01,novembre,haute,Montréal,Montréal,590,3300,oui,7294,3883,1.177,4,6.2,50.1,6.6,194539
2025-11-01,novembre,haute,Québec,Capitale-Nationale,465,2450,non,5371,2908,1.187,3,5.2,65.41,6.8,190225
2025-11-01,novembre,haute,Saguenay,Saguenay-Lac-Saint-Jean,345,1600,non,4248,2136,1.335,7,7.7,68.97,6.5,147320
2025-11-01,novembre,haute,Sherbrooke,Estrie,385,1850,non,5414,2130,1.151,0,4.6,74.52,8.7,158730
2025-11-01,novembre,haute,Trois-Rivières,Mauricie,360,1720,oui,5778,2160,1.256,3,6.5,75.24,7,162509
2025-12-01,décembre,haute,Gatineau,Outaouais,420,2050,oui,6264,2581,1.259,4,7,69.26,7.3,178758
2025-12-01,décembre,haute,Montréal,Montréal,590,3300,non,6105,4166,1.262,2,4.7,43.69,6.5,182014
2025-12-01,décembre,haute,Québec,Capitale-Nationale,465,2450,oui,7037,3065,1.251,4,5.6,56.81,6.6,174123
2025-12-01,décembre,haute,Saguenay,Saguenay-Lac-Saint-Jean,345,1600,oui,5110,1923,1.202,5,7,72.64,6.9,139688
2025-12-01,décembre,haute,Sherbrooke,Estrie,385,1850,non,5330,2537,1.371,2,7,68.85,6.8,174675
2025-12-01,décembre,haute,Trois-Rivières,Mauricie,360,1720,non,4936,2161,1.256,4,6.2,71.41,6.7,154318
