client_id,anciennete_mois,utilisation_mensuelle,tickets_service_6m,satisfaction,type_contrat,rabais_actuel,valeur_mensuelle,depart_90j
CL0001,39,16.8,0,7.7,annuel,fidélité,79.6,0
CL0002,30,19.6,1,5.4,annuel,aucun,102.02,0
CL0003,24,5.3,3,4.1,mensuel,rétention,64.06,1
CL0004,17,9.3,0,5.6,mensuel,aucun,88.35,0
CL0005,39,15.2,2,6,mensuel,aucun,99.63,0
CL0006,30,12.3,0,8.4,mensuel,aucun,108.99,0
CL0007,41,19.8,0,5.6,mensuel,rétention,62.91,0
CL0008,74,6.3,3,8,annuel,aucun,49.09,0
CL0009,21,13.1,2,7.5,annuel,fidélité,83.6,0
CL0010,12,20.9,2,6.3,annuel,aucun,70.01,1
CL0011,19,22.3,3,5.3,annuel,fidélité,99.7,1
CL0012,46,10,3,7.1,mensuel,rétention,49.96,0
CL0013,14,14.1,1,7.2,mensuel,fidélité,94.03,1
CL0014,34,5.1,3,8.7,mensuel,aucun,99.44,1
CL0015,9,15.6,1,6.5,mensuel,rétention,78.93,1
CL0016,25,15.9,3,7.6,mensuel,fidélité,101.96,0
CL0017,20,21.2,1,8.9,mensuel,aucun,87.7,0
CL0018,10,18.1,1,6.2,mensuel,aucun,68.37,0
CL0019,17,22.5,1,8.6,mensuel,aucun,81.19,1
CL0020,25,16.3,1,5.7,mensuel,fidélité,119.69,0
CL0021,41,13,2,7.1,mensuel,rétention,68.89,1
CL0022,6,15,0,9.2,mensuel,aucun,110.99,0
CL0023,62,17.1,2,8.4,annuel,aucun,80.5,0
CL0024,16,14.6,1,6.7,annuel,rétention,103.64,0
CL0025,10,12.5,1,7.4,mensuel,aucun,99.23,0
CL0026,45,16.7,2,9,mensuel,aucun,99.97,0
CL0027,29,15.2,2,6.3,mensuel,aucun,74.15,1
CL0028,51,11.9,2,6.7,annuel,fidélité,73.96,0
CL0029,23,17.7,1,8.8,mensuel,fidélité,116.66,0
CL0030,45,15.2,1,7.9,annuel,fidélité,80.64,0
CL0031,10,17.2,1,6.3,mensuel,rétention,90.12,0
CL0032,13,13.8,0,7.6,mensuel,aucun,74.26,0
CL0033,20,20,0,7.5,mensuel,fidélité,123.25,0
CL0034,15,17.7,1,7.7,mensuel,aucun,84.04,1
CL0035,28,15.6,0,8.1,mensuel,fidélité,93.55,0
CL0036,7,10.9,1,5.9,mensuel,fidélité,118.19,1
CL0037,15,12.5,5,5.7,annuel,aucun,81.98,0
CL0038,13,22.1,2,6.2,annuel,aucun,100.59,1
CL0039,34,24.5,3,5.9,mensuel,fidélité,101.18,0
CL0040,47,9.9,0,7,mensuel,fidélité,76.28,1
CL0041,13,14.5,1,8.2,mensuel,fidélité,97.18,0
CL0042,45,15.9,1,8.2,mensuel,aucun,116.36,0
CL0043,33,22.7,2,5.8,annuel,fidélité,87.61,0
CL0044,58,14.1,0,7.1,mensuel,aucun,75.45,0
CL0045,42,6.9,3,5.1,mensuel,aucun,62.22,0
CL0046,31,12.3,1,5.8,mensuel,aucun,111.8,0
CL0047,4,9.9,1,10,annuel,fidélité,90.31,0
CL0048,24,22.7,1,5.8,annuel,rétention,103.86,0
CL0049,32,14.1,0,7,annuel,aucun,47.61,0
CL0050,18,10.8,1,6.2,annuel,rétention,106.37,0
CL0051,46,10.4,2,7,mensuel,aucun,98.07,0
CL0052,14,20.3,1,5.3,mensuel,fidélité,120.68,1
CL0053,40,18.5,1,6.2,annuel,aucun,73.93,0
CL0054,28,11.6,1,7,mensuel,fidélité,71.04,1
CL0055,26,12.3,2,6.3,mensuel,aucun,84.41,0
CL0056,66,14.1,0,6.2,mensuel,fidélité,95.99,0
CL0057,17,14.5,2,6.8,mensuel,aucun,93.45,0
CL0058,26,19.2,1,7.6,mensuel,aucun,84.93,0
CL0059,19,11.3,1,6.3,mensuel,aucun,76.01,1
CL0060,80,20.7,1,8,mensuel,aucun,107.27,0
CL0061,37,18.4,0,7.5,mensuel,rétention,97.88,0
CL0062,40,9.7,0,6.6,annuel,fidélité,95.38,0
CL0063,12,10.1,1,6.9,mensuel,rétention,60.06,1
CL0064,32,15.9,1,5.6,mensuel,fidélité,122.89,1
CL0065,52,12,3,5.2,mensuel,fidélité,88.36,0
CL0066,22,14.3,1,6.9,annuel,aucun,63.05,0
CL0067,1,17.9,1,6.8,mensuel,fidélité,119.28,1
CL0068,17,17.2,0,6.7,mensuel,aucun,85.78,1
CL0069,39,25.9,1,8.4,mensuel,fidélité,117.01,0
CL0070,24,18.7,0,4.8,mensuel,aucun,69.07,0
CL0071,26,14.9,2,7.5,mensuel,aucun,95.71,1
CL0072,24,22.7,5,6.5,annuel,fidélité,74.16,1
CL0073,8,9.3,4,5.9,mensuel,aucun,88.93,1
CL0074,48,21.5,0,7.3,annuel,aucun,103.2,0
CL0075,65,7,0,7.8,mensuel,fidélité,70.88,1
CL0076,33,12.5,3,8.5,mensuel,aucun,100.96,0
CL0077,101,15,0,7.4,mensuel,aucun,102.71,0
CL0078,23,9.2,2,6.9,mensuel,aucun,108.95,0
CL0079,10,17,0,6.4,mensuel,aucun,94.37,0
CL0080,14,6.8,3,5.2,mensuel,aucun,79.66,0
CL0081,45,8.4,2,4.9,mensuel,fidélité,101.58,0
CL0082,34,13.7,1,7.4,mensuel,aucun,102.88,1
CL0083,27,20.3,1,7.2,mensuel,rétention,96.53,0
CL0084,35,26.6,2,6.1,mensuel,fidélité,128.93,0
CL0085,11,7.1,1,6.6,mensuel,aucun,97.01,1
CL0086,20,16.8,3,6.9,annuel,aucun,71.5,0
CL0087,15,12.1,2,8.2,annuel,fidélité,101.73,0
CL0088,35,12.6,1,7.2,mensuel,fidélité,84.76,0
CL0089,12,25.7,2,5.4,mensuel,rétention,99.86,0
CL0090,17,12.1,2,6.3,annuel,rétention,123.25,0
CL0091,32,23.6,4,6.2,mensuel,rétention,101.14,0
CL0092,4,25,1,8.6,mensuel,aucun,100.82,0
CL0093,5,13.7,0,5.3,mensuel,rétention,84.85,1
CL0094,31,10,2,7.8,mensuel,rétention,47.72,1
CL0095,11,15.4,0,7.5,mensuel,aucun,88.55,1
CL0096,41,24.8,4,6.3,mensuel,fidélité,111.96,1
CL0097,24,15.7,4,6.2,mensuel,aucun,115.87,1
CL0098,81,8.8,0,7.8,annuel,aucun,55.62,0
CL0099,10,2.3,2,8.8,annuel,rétention,107.22,0
CL0100,24,15.7,1,7.1,mensuel,aucun,92.62,0
CL0101,5,11.9,0,7.2,mensuel,aucun,67.7,1
CL0102,11,14,2,5.3,mensuel,rétention,92.81,1
CL0103,51,27.5,3,6.4,mensuel,rétention,110.12,0
CL0104,16,15.4,3,8.3,annuel,aucun,90.09,0
CL0105,12,18.3,2,4.6,mensuel,rétention,116.01,1
CL0106,47,14,2,5.1,mensuel,fidélité,90.34,1
CL0107,14,15.9,7,6.5,mensuel,fidélité,90.3,1
CL0108,17,18.5,0,9,mensuel,fidélité,89.71,1
CL0109,14,11.3,4,4.2,mensuel,aucun,100.49,1
CL0110,103,17.2,1,7.9,annuel,aucun,82.36,0
CL0111,31,15.3,1,7.4,mensuel,fidélité,83.09,0
CL0112,44,20.1,1,3.8,mensuel,aucun,107.55,0
CL0113,60,18.8,1,6.3,annuel,aucun,110.42,0
CL0114,46,13.5,1,5.8,annuel,fidélité,89.01,0
CL0115,24,20.6,2,6.1,annuel,aucun,115.77,0
CL0116,28,11.6,2,7.3,mensuel,aucun,77.08,0
CL0117,7,17.5,3,3.5,mensuel,rétention,83.47,0
CL0118,9,9.2,0,7.8,annuel,fidélité,99.39,0
CL0119,39,15.8,3,7,mensuel,aucun,108.22,0
CL0120,28,18.4,4,7,annuel,aucun,110.11,0
CL0121,6,14,3,6.7,mensuel,fidélité,84.34,1
CL0122,52,12.7,1,6.4,annuel,aucun,80.06,0
CL0123,18,22,1,7.5,mensuel,aucun,121.77,0
CL0124,12,13.5,1,5.3,mensuel,rétention,75.84,1
CL0125,29,9.3,2,7.1,mensuel,rétention,103.95,0
CL0126,21,11.8,2,6.9,mensuel,aucun,84.96,0
CL0127,16,15.6,2,6.8,mensuel,aucun,76.98,1
CL0128,13,15.8,3,6.4,annuel,fidélité,105.89,0
CL0129,32,15.3,4,6.7,mensuel,fidélité,109.04,0
CL0130,6,18.4,0,8.7,mensuel,aucun,87.17,0
CL0131,30,13.9,3,6.9,mensuel,aucun,99.96,0
CL0132,16,11.4,0,5.4,mensuel,aucun,92.7,1
CL0133,9,13.8,0,7.5,annuel,rétention,81.98,0
CL0134,38,18.1,3,7.9,annuel,aucun,101.98,0
CL0135,26,13.2,1,7.2,mensuel,aucun,78.92,0
CL0136,24,12.4,4,6.5,annuel,fidélité,104.83,1
CL0137,29,18.7,2,6.7,annuel,aucun,120.75,0
CL0138,19,12.2,3,7.1,mensuel,aucun,90.24,1
CL0139,51,8.9,3,6.2,mensuel,aucun,99.8,0
CL0140,36,6.9,0,8.9,mensuel,fidélité,105.02,0
CL0141,35,10.7,1,9,annuel,aucun,104.06,1
CL0142,56,13.9,2,8,annuel,fidélité,85.08,0
CL0143,9,11.7,2,6.3,mensuel,aucun,107.01,0
CL0144,44,16.3,1,7.1,mensuel,fidélité,92.68,0
CL0145,53,13.7,2,9.2,mensuel,aucun,121.6,0
CL0146,58,11.6,2,4.4,annuel,fidélité,105.89,0
CL0147,26,17.7,0,9,annuel,fidélité,77.66,0
CL0148,25,12.9,2,5.3,mensuel,aucun,122.7,1
CL0149,27,10.3,1,6.6,annuel,aucun,97.99,0
CL0150,29,10.2,2,6.2,mensuel,aucun,76.74,0
CL0151,38,7.6,1,6.7,mensuel,aucun,104.25,0
CL0152,19,17.2,2,8.5,mensuel,fidélité,125.34,1
CL0153,14,13,3,7.6,annuel,rétention,64.16,1
CL0154,22,23,0,8.5,annuel,aucun,96.88,0
CL0155,27,11.7,1,6.7,annuel,rétention,100.66,0
CL0156,55,10.6,2,5.7,mensuel,aucun,81.17,0
