mois,mois_label,saison,succursale,region,surface_m2,campagne_locale,depenses_marketing,achalandage,heures_personnel,ruptures_stock,delai_service_minutes,satisfaction,ventes
2025-01-01,janvier,moyenne,Gatineau,Outaouais,420,oui,5977,1653,483,1,5.5,7.7,163260
2025-01-01,janvier,moyenne,Montréal,Montréal,560,oui,6162,2043,528,1,6.8,8,180567
2025-01-01,janvier,moyenne,Québec,Capitale-Nationale,470,non,4978,1864,499,2,3.8,7.7,166706
2025-01-01,janvier,moyenne,Saguenay,Saguenay-Lac-Saint-Jean,350,non,2981,1202,450,1,5.4,7.4,126460
2025-01-01,janvier,moyenne,Sherbrooke,Estrie,390,oui,5061,1362,476,0,3.8,8.7,151254
2025-01-01,janvier,moyenne,Trois-Rivières,Mauricie,365,non,3279,1369,493,1,5.5,8.4,132775
2025-02-01,février,moyenne,Gatineau,Outaouais,420,non,4677,1486,498,0,5,8.6,143970
2025-02-01,février,moyenne,Montréal,Montréal,560,non,4693,2179,577,1,6.2,8.3,186316
2025-02-01,février,moyenne,Québec,Capitale-Nationale,470,non,4469,1630,495,6,6.5,7.1,141096
2025-02-01,février,moyenne,Saguenay,Saguenay-Lac-Saint-Jean,350,non,4429,1198,465,3,5.3,7.6,120048
2025-02-01,février,moyenne,Sherbrooke,Estrie,390,non,3890,1362,419,0,5.4,7.2,122196
2025-02-01,février,moyenne,Trois-Rivières,Mauricie,365,oui,5243,1524,531,2,4.5,8.1,148867
2025-03-01,mars,régulière,Gatineau,Outaouais,420,non,4697,1600,500,1,5.2,8.6,145783
2025-03-01,mars,régulière,Montréal,Montréal,560,oui,7558,2214,529,0,6.1,8.4,196282
2025-03-01,mars,régulière,Québec,Capitale-Nationale,470,non,5035,1555,503,1,5.4,8.3,153849
2025-03-01,mars,régulière,Saguenay,Saguenay-Lac-Saint-Jean,350,oui,4597,1593,504,2,5.3,8.3,159815
2025-03-01,mars,régulière,Sherbrooke,Estrie,390,oui,6280,1620,516,1,4.3,7.8,160864
2025-03-01,mars,régulière,Trois-Rivières,Mauricie,365,oui,6080,1417,489,2,7,7.5,152305
2025-04-01,avril,régulière,Gatineau,Outaouais,420,oui,5286,1392,464,7,8.7,5.9,139423
2025-04-01,avril,régulière,Montréal,Montréal,560,non,6251,2010,571,3,7.2,8.1,177233
2025-04-01,avril,régulière,Québec,Capitale-Nationale,470,oui,7552,1747,488,2,4.8,7.6,172281
2025-04-01,avril,régulière,Saguenay,Saguenay-Lac-Saint-Jean,350,oui,4478,1401,431,2,6.7,8.1,134234
2025-04-01,avril,régulière,Sherbrooke,Estrie,390,oui,5806,1511,450,3,8.5,6.7,152121
