date,succursale,indice_temps,promotion,capacite,achalandage,ruptures_stock,temps_attente,satisfaction,taux_utilisation,ventes,service_insuffisant_mois_suivant
2020-01-01,Gatineau,1,non,2100,1521,3,3.2,7.3,0.7242857142857143,154567,0
2020-02-01,Gatineau,2,non,2100,1536,0,3,8.2,0.7314285714285714,154874,0
2020-03-01,Gatineau,3,non,2100,1598,3,3.7,7.9,0.7609523809523809,145985,0
2020-04-01,Gatineau,4,non,2100,1746,3,4.8,7.4,0.8314285714285714,149621,0
2020-05-01,Gatineau,5,non,2100,1777,1,5.1,6.9,0.8461904761904762,157731,1
2020-06-01,Gatineau,6,non,2100,1584,1,3.8,6.9,0.7542857142857143,150602,0
2020-07-01,Gatineau,7,non,2100,1545,2,3.5,7.8,0.7357142857142858,144328,0
2020-08-01,Gatineau,8,non,2100,1730,2,3.9,7.6,0.8238095238095238,161210,0
2020-09-01,Gatineau,9,non,2100,1642,2,3.9,8.4,0.7819047619047619,168731,0
2020-10-01,Gatineau,10,non,2100,1711,2,3.7,6.9,0.8147619047619048,158583,0
2020-11-01,Gatineau,11,non,2100,1629,2,5.7,7.1,0.7757142857142857,151200,0
2020-12-01,Gatineau,12,oui,2100,1995,2,4.7,7.9,0.95,193092,0
2021-01-01,Gatineau,13,non,2100,1507,2,2.9,8.4,0.7176190476190476,149649,0
2021-02-01,Gatineau,14,non,2100,1495,1,3.3,8.5,0.7119047619047619,138403,0
2021-03-01,Gatineau,15,non,2100,1576,2,3.6,8.2,0.7504761904761905,140729,0
2021-04-01,Gatineau,16,oui,2100,1981,3,4.8,7.6,0.9433333333333334,174239,0
2021-05-01,Gatineau,17,non,2100,1560,0,3.4,7.9,0.7428571428571429,149201,0
2021-06-01,Gatineau,18,non,2100,1744,3,4.3,8.2,0.8304761904761905,161103,0
2021-07-01,Gatineau,19,non,2100,1503,2,3.7,8,0.7157142857142857,143341,0
2021-08-01,Gatineau,20,non,2100,1562,2,4.9,7.3,0.7438095238095238,151880,0
2021-09-01,Gatineau,21,non,2100,1702,1,3.7,8,0.8104761904761905,147479,0
2021-10-01,Gatineau,22,oui,2100,2018,1,4.1,7,0.960952380952381,186837,0
2021-11-01,Gatineau,23,non,2100,1916,0,3,6.9,0.9123809523809524,168457,0
2021-12-01,Gatineau,24,non,2100,1832,1,3.6,9.2,0.8723809523809524,167103,0
2022-01-01,Gatineau,25,non,2100,1445,0,2.1,8.9,0.6880952380952381,134101,0
2022-02-01,Gatineau,26,oui,2100,1921,1,4.3,7.6,0.9147619047619048,193073,0
2022-03-01,Gatineau,27,non,2100,1775,3,4.1,7.4,0.8452380952380952,150088,0
2022-04-01,Gatineau,28,non,2100,1743,0,2.9,7.9,0.83,177307,0
2022-05-01,Gatineau,29,non,2100,1604,1,3.8,7.6,0.7638095238095238,143585,0
2022-06-01,Gatineau,30,oui,2100,2051,1,4.8,8,0.9766666666666667,198282,0
2022-07-01,Gatineau,31,non,2100,1613,2,4.1,7.3,0.768095238095238,139442,0
2022-08-01,Gatineau,32,non,2100,1723,0,2.9,8.5,0.8204761904761905,166932,0
2022-09-01,Gatineau,33,non,2100,1805,2,4.5,7,0.8595238095238096,157044,1
2022-10-01,Gatineau,34,oui,2100,2164,3,5.9,7.2,1.0304761904761905,202561,0
2022-11-01,Gatineau,35,non,2100,1816,1,4.3,8.2,0.8647619047619047,164146,1
2022-12-01,Gatineau,36,oui,2100,1964,1,5,7.7,0.9352380952380952,186369,0
2023-01-01,Gatineau,37,non,2100,1788,2,4.4,8.2,0.8514285714285714,158742,0
2023-02-01,Gatineau,38,oui,2100,2013,4,3.7,8,0.9585714285714285,194619,0
2023-03-01,Gatineau,39,oui,2100,2134,0,4.3,7,1.016190476190476,203990,0
2023-04-01,Gatineau,40,non,2100,1768,4,3.5,8,0.8419047619047619,161004,0
2023-05-01,Gatineau,41,non,2100,1675,1,3.8,6.8,0.7976190476190477,159212,0
2023-06-01,Gatineau,42,non,2100,1866,4,5.2,6.9,0.8885714285714286,148516,1
2023-07-01,Gatineau,43,non,2100,1822,1,3.9,7.2,0.8676190476190476,159245,0
2023-08-01,Gatineau,44,non,2100,1836,2,4.2,7.6,0.8742857142857143,165396,0
2023-09-01,Gatineau,45,oui,2100,2118,4,6.1,7.4,1.0085714285714287,189861,0
2023-10-01,Gatineau,46,non,2100,1889,3,4.8,7.3,0.8995238095238095,151218,0
2023-11-01,Gatineau,47,non,2100,1993,3,5,6.8,0.949047619047619,163183,0
2023-12-01,Gatineau,48,non,2100,1834,0,4.1,6.8,0.8733333333333333,180568,0
2024-01-01,Gatineau,49,oui,2100,2134,3,4.6,7.5,1.016190476190476,195397,1
