mois,mois_nom,succursale,region,surface_m2,campagne_locale,canal_principal,clients,panier_moyen,ventes,delai_livraison_jours,satisfaction
2025-01-01,janvier,Montréal,Montréal,540,non,magasin,2254,53.11,119710,2.2,8.3
2025-01-01,janvier,Québec,Capitale-Nationale,420,oui,magasin,1858,59.4,110365,3.8,8.6
2025-01-01,janvier,Sherbrooke,Estrie,360,non,web,1506,63.31,95345,4.5,7.3
2025-01-01,janvier,Trois-Rivières,Mauricie,335,non,web,1199,68.21,81784,3.5,8.1
2025-02-01,février,Montréal,Montréal,540,non,web,2162,66.53,143838,3.6,NA
2025-02-01,février,Québec,Capitale-Nationale,420,non,magasin,1682,55.2,92846,1.8,7.9
2025-02-01,février,Sherbrooke,Estrie,360,oui,telephone,1585,58.44,92627,3.5,7.8
2025-02-01,février,Trois-Rivières,Mauricie,335,oui,magasin,1458,51.89,75656,2.6,8
2025-03-01,mars,Montréal,Montréal,540,oui,magasin,2464,57.56,141828,NA,7.7
2025-03-01,mars,Québec,Capitale-Nationale,420,oui,web,1761,59.22,104286,3.9,7.9
2025-03-01,mars,Sherbrooke,Estrie,360,non,web,1566,62.59,98016,3.5,8.4
2025-03-01,mars,Trois-Rivières,Mauricie,335,non,web,1446,67.98,98299,4.6,7.6
2025-04-01,avril,Montréal,Montréal,540,oui,telephone,2255,59.19,133473,3.3,8.6
2025-04-01,avril,Québec,Capitale-Nationale,420,non,magasin,1873,58.22,109046,2,NA
2025-04-01,avril,Sherbrooke,Estrie,360,non,web,1648,65.21,107466,3.3,8.5
2025-04-01,avril,Trois-Rivières,Mauricie,335,non,magasin,1372,58.29,79974,3.2,8.4
2025-05-01,mai,Montréal,Montréal,540,oui,web,2421,60.52,146519,3.6,8
2025-05-01,mai,Québec,Capitale-Nationale,420,oui,web,2086,65.27,136153,3.6,7.9
2025-05-01,mai,Sherbrooke,Estrie,360,non,magasin,1589,63.88,101505,4,7.8
2025-05-01,mai,Trois-Rivières,Mauricie,335,oui,magasin,1580,58.74,92809,2.8,9.1
2025-06-01,juin,Montréal,Montréal,540,oui,web,2501,58.54,146409,4.1,7.8
2025-06-01,juin,Québec,Capitale-Nationale,420,oui,telephone,2204,56.84,125275,2.4,8
2025-06-01,juin,Sherbrooke,Estrie,360,oui,magasin,1671,56.83,94963,3,7.5
2025-06-01,juin,Trois-Rivières,Mauricie,335,oui,magasin,1534,57.01,87453,3.1,7.9
