semaine,numero_semaine,promotion,prix_moyen,demande
2024-01-01,1,non,42.04,1234
2024-01-08,2,non,41.7,1206
2024-01-15,3,non,43.33,1250
2024-01-22,4,non,41.46,1153
2024-01-29,5,non,43.04,1251
2024-02-05,6,non,42.69,1232
2024-02-12,7,oui,39.05,1405
2024-02-19,8,non,43.04,1288
2024-02-26,9,non,42.58,1344
2024-03-04,10,non,41.38,1328
2024-03-11,11,oui,39.01,1506
2024-03-18,12,non,42.1,1446
2024-03-25,13,non,41.85,1364
2024-04-01,14,non,43.36,1362
2024-04-08,15,non,42.84,1276
2024-04-15,16,non,41.24,1300
2024-04-22,17,non,43.14,1364
2024-04-29,18,non,42.32,1332
2024-05-06,19,oui,38.83,1483
2024-05-13,20,non,43.16,1325
2024-05-20,21,non,40.63,1275
2024-05-27,22,non,41.1,1258
2024-06-03,23,non,42.66,1344
2024-06-10,24,non,40.47,1213
2024-06-17,25,non,41.45,1284
2024-06-24,26,non,42.25,1241
2024-07-01,27,non,41.67,1255
2024-07-08,28,oui,38.53,1450
2024-07-15,29,non,42.11,1135
2024-07-22,30,oui,38.83,1403
2024-07-29,31,non,42.92,1169
2024-08-05,32,oui,38.44,1348
2024-08-12,33,non,41.07,1175
2024-08-19,34,non,42.93,1109
2024-08-26,35,non,42.55,1086
2024-09-02,36,non,42.75,1111
2024-09-09,37,non,42.04,1127
2024-09-16,38,non,41.66,1163
2024-09-23,39,non,41.05,1145
2024-09-30,40,non,42.69,1121
2024-10-07,41,non,41.04,1246
2024-10-14,42,non,42.43,1154
2024-10-21,43,oui,38.85,1366
2024-10-28,44,oui,39.21,1410
2024-11-04,45,non,42.42,1199
2024-11-11,46,non,42.15,1141
2024-11-18,47,non,40.86,1168
2024-11-25,48,non,43.81,1213
2024-12-02,49,non,42.12,1278
2024-12-09,50,oui,38.23,1344
2024-12-16,51,oui,38.5,1334
2024-12-23,52,non,42.57,1314
2024-12-30,1,non,43.59,1295
2025-01-06,2,non,42.38,1383
2025-01-13,3,non,41.73,1447
2025-01-20,4,oui,39.72,1534
2025-01-27,5,non,41.27,1422
2025-02-03,6,non,42.39,1366
2025-02-10,7,non,41.9,1406
2025-02-17,8,non,43.41,1394
2025-02-24,9,non,41.93,1493
2025-03-03,10,non,41.23,1442
2025-03-10,11,oui,38.77,1561
2025-03-17,12,non,41.23,1461
2025-03-24,13,non,40.2,1524
2025-03-31,14,non,42.06,1553
2025-04-07,15,non,41.95,1493
2025-04-14,16,oui,38.82,1667
2025-04-21,17,non,41.57,1470
2025-04-28,18,non,42.05,1481
2025-05-05,19,non,40.72,1478
2025-05-12,20,non,41.75,1508
2025-05-19,21,oui,38.98,1611
2025-05-26,22,non,43.27,1465
2025-06-02,23,non,43.15,1378
2025-06-09,24,oui,38.39,1655
2025-06-16,25,non,41.88,1412
2025-06-23,26,non,43.31,1557
2025-06-30,27,non,41.88,1387
2025-07-07,28,oui,38.68,1579
2025-07-14,29,non,43.74,1409
2025-07-21,30,non,42.65,1303
2025-07-28,31,non,42.71,1390
2025-08-04,32,non,43.07,1295
2025-08-11,33,non,41.3,1304
2025-08-18,34,non,42.23,1352
2025-08-25,35,non,42.57,1317
2025-09-01,36,oui,37.36,1412
2025-09-08,37,non,41.07,1300
2025-09-15,38,non,42.92,1330
2025-09-22,39,non,42.04,1211
2025-09-29,40,non,42.27,1325
2025-10-06,41,non,41.3,1282
2025-10-13,42,non,42.16,1388
2025-10-20,43,non,41.46,1297
2025-10-27,44,non,42.35,1247
2025-11-03,45,non,40.44,1362
2025-11-10,46,non,41.93,1389
2025-11-17,47,non,41.32,1466
2025-11-24,48,non,41.89,1384
2025-12-01,49,non,42.5,1386
2025-12-08,50,non,42.05,1477
2025-12-15,51,oui,38.69,1577
2025-12-22,52,oui,38.32,1566
